pl_name
Kepler-107 c
K2-38 b
Kepler-406 b
L 168-9 b
HD 137496 b
Kepler-80 d
TOI-431 b
K2-229 b
GJ 367 b
Kepler-78 b
Kepler-99 b
HD 213885 b
Kepler-105 c
Kepler-102 d
