,mass,rho
0,0.4,9.518031334161988
1,0.41491515414353336,9.568233806008312
2,0.4303864628448801,9.619328049009798
3,0.4464346639314338,9.671326933003447
4,0.46308126850031833,9.72424350782689
5,0.48034858975198136,9.778091169792349
6,0.49825977289893053,9.832883224812832
7,0.5168388261897041,9.888633225880312
8,0.5361106530896598,9.945354792630193
9,0.5561010856617163,10.003061740295552
10,0.5768369191917931,10.061768119167937
11,0.5983459481053593,10.121488289133962
12,0.6206570032232345,10.182236447211372
13,0.6437999904065795,10.244027048901259
14,0.6678059306428781,10.306874623626982
15,0.6927070016266387,10.370793783309075
16,0.718536580890554,10.435799514901362
17,0.7453292905449291,10.501906756901844
18,0.773121043685349,10.569130600232137
19,0.8019490925307899,10.637487076117036
20,0.8318520783566984,10.706992842706354
21,0.8628700832899703,10.777661775161455
22,0.8950446840352536,10.84950960354576
23,0.9284190076045934,10.922552340265623
24,0.9630377891251153,10.996805862033948
25,0.9989474318022369,11.072286436337828
26,1.0361960691187797,11.14901055118098
27,1.0748336293533545,11.2269946411702
28,1.1149119025045011,11.306255555824082
29,1.1564846097102877,11.386810231025397
30,1.19960747525642,11.46867583439295
31,1.244338301269381,11.551869335422449
32,1.290737045194719,11.636408256949494
33,1.338865900164339,11.72231011149343
34,1.3887893783605183,11.809592589603756
35,1.4405743974883907,11.89827374159909
36,1.494290370472808,11.98837119276304
37,1.5500092984998068,12.079903494007358
38,1.6078058675273936,12.172888734248476
39,1.6677575483950144,12.267345310521065
40,1.7299447006658966,12.363292714799416
41,1.7944506803414482,12.460749629273979
42,1.8613619515921005,12.559734109037674
43,1.9307682026543609,12.660266238132818
44,2.0027624660494174,12.762366017543306
45,2.0774412432844427,12.866052692768978
46,2.1549046342037452,12.971346093173825
47,2.2352564711631526,13.078265980563565
48,2.318604458207475,13.186832492530568
49,2.4050603154375954,13.29706569554903
50,2.494739928760712,13.408987020690802
51,2.587763505224445,13.522617802409295
52,2.6842557341430275,13.637978526404721
53,2.7843459542315436,13.755088407119695
54,2.8881683269722607,13.873970729132123
55,2.9958620164454155,13.994647378106357
56,3.107571375865516,14.117138731830716
57,3.223446141073181,14.24146812914922
58,3.3436416312418915,14.367656964137026
59,3.468318957068662,14.495727283285714
60,3.5976452367277068,14.625703022686828
61,3.731793819876562,14.757605763142974
62,3.870944520014922,14.891459535375715
63,4.015283855507642,15.027285762964793
64,4.165005299594986,15.165110173315156
65,4.320309539725218,15.304955599857909
66,4.481404746557165,15.446845497130981
67,4.648506852993321,15.590803592605816
68,4.821839843617488,15.736854234787861
69,5.00163605492495,15.885027940335426
70,5.1881364867476,16.03750290490244
71,5.381591125291423,16.19013016143548
72,5.582259278219405,16.344952821996326
73,5.790409922228935,16.502000314899096
74,6.006322063589657,16.661295619886484
75,6.230285112125021,16.822865240696043
76,6.462599269138786,16.986737917053144
77,6.703575929806512,17.152933634935952
78,6.953538100571373,17.32148537759441
79,7.212820832103759,17.492418846374974
80,7.481771668405046,17.66575825230991
81,7.760751112657502,17.84153490439884
82,8.050133110444715,18.01977397268916
83,8.350305550990324,18.20050826927397
84,8.661670787086882,18.38376286861018
85,8.984646174411731,18.569566573588922
86,9.319664630952877,18.75795221255851
87,9.667175217294623,18.948939557426822
88,10.02764373854086,19.142564351967717
89,10.401553368682796,19.33885815506674
90,10.78940529824803,19.53785300621941
91,11.191719406099082,19.739579555220942
92,11.609034956281937,19.944068755829882
93,12.04191132085847,20.151351869090657
94,12.490928729691879,20.361460466645937
95,12.95668904818999,20.574426434040713
96,13.439816584048954,20.790281974004582
97,13.940958924078705,21.009059609709272
98,14.46078780223196,21.23079218799176
99,15.000000000000004,21.45551288254525
