,pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate,rho,Merr,Rerr,srho
38160,WASP-6 b,WASP-6,1,1,1,Transit,2009,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.36101,2.8e-06,-2.8e-06,0.0,,,,,11.54527,1.1209,-1.1209,0.0,1.03,0.1,-0.1,0.0,117.5971,25.4264,-25.4264,0.0,0.37,0.08,-0.08,0.0,Mass,0.05,0.02,-0.02,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5450.0,100.0,-100.0,0.0,0.73,0.07,-0.07,0.0,0.55,0.17,-0.17,0.0,-0.2,,,0.0,[Fe/H],4.6,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h12m37.71s,348.1571282,-22d40m26.85s,-22.6741248,197.119,1.632,-1.607,11.907,0.034,-0.034,10.325,0.025,-0.025,11.9761,0.00048,-0.00048,2018-09-04,2017-03,2018-09-06,0.42105218867662914,25.4264,1.1209,0.152734082258436
38169,WASP-60 b,WASP-60,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.305,6e-06,-6e-06,0.0,,,,,9.86392,1.34508,-1.34508,0.0,0.88,0.12,-0.12,0.0,174.8065,60.3877,-60.3877,0.0,0.55,0.19,-0.19,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5900.0,100.0,-100.0,0.0,1.17,0.15,-0.15,0.0,1.19,0.61,-0.61,0.0,-0.04,,,0.0,[Fe/H],4.2,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,23h46m40.01s,356.6667136,+31d09m21.28s,31.1559115,431.052,7.554,-7.303,11.67,0.055,-0.055,10.585,0.021,-0.021,12.0196,0.000241,-0.000241,2018-04-25,2017-03,2018-04-26,1.0035997681204956,60.3877,1.34508,0.5373657928678661
38175,WASP-61 b,WASP-61,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,3.8559,3e-06,-3e-06,0.0,,,,,15.80469,2.46598,-2.46598,0.0,1.41,0.22,-0.22,0.0,851.7844,266.9772,-266.9772,0.0,2.68,0.84,-0.84,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6250.0,150.0,-150.0,0.0,1.55,0.24,-0.24,0.0,1.82,0.85,-0.85,0.0,-0.1,,,0.0,[Fe/H],4.26,0.01,-0.01,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h01m11.92s,75.2996637,-26d03m14.92s,-26.0541438,488.66,5.558,-5.436,12.489,0.026,-0.026,11.008,0.026,-0.026,12.0702,0.00017,-0.00017,2018-04-25,2017-03,2018-04-26,1.1888397981945091,266.9772,2.46598,0.6697124162152892
38190,WASP-62 b,WASP-62,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.41195,3e-06,-3e-06,0.0,,,,,14.79588,0.89672,-0.89672,0.0,1.32,0.08,-0.08,0.0,165.2716,25.4264,-25.4264,0.0,0.52,0.08,-0.08,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6230.0,80.0,-80.0,0.0,1.23,0.08,-0.08,0.0,1.11,0.25,-0.25,0.0,0.04,,,0.0,[Fe/H],4.45,0.1,-0.1,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,05h48m33.56s,87.1398205,-63d59m17.98s,-63.9883286,175.631,0.59,-0.586,10.213,0.005,-0.005,8.944,0.021,-0.021,10.0721,0.000305,-0.000305,2018-04-25,2017-03,2018-04-26,0.28114310002567416,25.4264,0.89672,0.06696076188044053
38196,WASP-63 b,WASP-63,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.37808,6e-06,-6e-06,0.0,,,,,15.80469,1.56926,-1.56926,0.0,1.41,0.14,-0.14,0.0,117.5971,28.6047,-28.6047,0.0,0.37,0.09,-0.09,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5550.0,100.0,-100.0,0.0,1.86,0.19,-0.19,0.0,1.28,0.42,-0.42,0.0,0.08,,,0.0,[Fe/H],4.01,0.03,-0.03,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h17m20.73s,94.3363562,-38d19m24.18s,-38.3233826,290.684,2.034,-2.008,11.155,0.01,-0.01,9.393,0.021,-0.021,10.9185,0.00038,-0.00038,2018-04-25,2017-03,2018-04-26,0.16413086766118223,28.6047,1.56926,0.06312004713599252
38202,WASP-64 b,WASP-64,1,2,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=GILLON_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...552A..82G/abstract target=ref> Gillon et al. 2013 </a>,1.5732918,1.5e-06,-1.5e-06,0.0,0.02648,0.00024,-0.00024,0.0,14.247,0.437,-0.437,0.0,1.271,0.039,-0.039,0.0,403.945,21.612,-21.612,0.0,1.271,0.068,-0.068,0.0,Mass,0.0,,,0.0,,,,,1689.0,49.0,-49.0,0.0,0,<a refstr=GILLON_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...552A..82G/abstract target=ref> Gillon et al. 2013 </a>,G7,5400.0,100.0,-100.0,0.0,1.058,0.025,-0.025,0.0,1.004,0.028,-0.028,0.0,-0.08,0.11,-0.11,0.0,[Fe/H],4.392,0.016,-0.016,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h44m27.58s,101.1149223,-32d51m30.20s,-32.8583878,369.926,3.026,-2.979,12.704,0.069,-0.069,10.956,0.019,-0.019,12.5257,0.000384,-0.000384,2014-05-14,2013-04,2014-05-14,0.769668234352174,21.612,0.437,0.08192562351613085
38210,WASP-65 b,WASP-65,1,1,1,Transit,2013,SuperWASP,Published Confirmed,0,<a refstr=GOMEZ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...559A..36G/abstract target=ref> Gomez et al. 2013 </a>,2.3114243,1.5e-06,-1.5e-06,0.0,0.0334,0.0016,-0.0017,0.0,12.464,0.661,-0.661,0.0,1.112,0.059,-0.059,0.0,492.62,50.85,-50.85,0.0,1.55,0.16,-0.16,0.0,Mass,0.0,,,0.0,,,,,1480.0,10.0,-10.0,0.0,0,<a refstr=GOMEZ_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A%26A...559A..36G/abstract target=ref> Gomez et al. 2013 </a>,G6,5600.0,100.0,-100.0,0.0,1.01,0.05,-0.05,0.0,0.93,0.14,-0.14,0.0,-0.07,0.07,-0.07,0.0,[Fe/H],4.4,0.02,-0.02,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h53m17.83s,133.3242982,+08d31m22.86s,8.5230171,273.703,2.733,-2.68,11.869,0.046,-0.046,10.346,0.021,-0.021,11.7509,0.000597,-0.000597,2014-05-14,2013-11,2014-05-14,1.4018169849439404,50.85,0.661,0.2658554157944771
38215,WASP-66 b,WASP-66,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.08605,7e-06,-7e-06,0.0,,,,,15.6926,3.13852,-3.13852,0.0,1.4,0.28,-0.28,0.0,746.9005,311.4734,-311.4734,0.0,2.35,0.98,-0.98,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,6600.0,150.0,-150.0,0.0,1.76,0.35,-0.35,0.0,1.33,0.83,-0.83,0.0,-0.31,,,0.0,[Fe/H],4.3,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h32m54.01s,158.2250301,-34d59m23.67s,-34.9899074,500.258,13.509,-12.828,11.605,0.015,-0.015,10.452,0.022,-0.022,11.5904,0.000584,-0.000584,2018-04-25,2017-03,2018-04-26,1.064951021583908,311.4734,3.13852,0.7781482377918538
38221,WASP-67 b,WASP-67,1,1,1,Transit,2012,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,4.61442,1e-05,-1e-05,0.0,,,,,12.89035,1.23299,-1.23299,0.0,1.15,0.11,-0.11,0.0,136.6669,28.6047,-28.6047,0.0,0.43,0.09,-0.09,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5200.0,100.0,-100.0,0.0,0.88,0.08,-0.08,0.0,0.91,0.28,-0.28,0.0,-0.07,,,0.0,[Fe/H],4.35,0.15,-0.15,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m58.52s,295.7438485,-19d56m59.03s,-19.9497314,189.469,1.557,-1.533,12.537,0.039,-0.039,10.129,0.021,-0.021,11.9141,0.000214,-0.000214,2018-04-25,2017-03,2018-04-26,0.3515772896375889,28.6047,1.23299,0.12487256667550475
38229,WASP-68 b,WASP-68,1,2,1,Transit,2014,SuperWASP,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,5.0843,1.5e-05,-1.5e-05,0.0,,,,,14.79588,1.56926,-1.56926,0.0,1.32,0.14,-0.14,0.0,343.2564,79.4575,-79.4575,0.0,1.08,0.25,-0.25,0.0,Mass,0.0,,,0.0,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5910.0,60.0,-60.0,0.0,1.79,0.19,-0.19,0.0,1.49,0.53,-0.53,0.0,0.22,,,0.0,[Fe/H],4.17,0.11,-0.11,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,20h20m22.97s,305.0957239,-19d18m53.02s,-19.3147271,226.399,1.621,-1.599,10.674,0.008,-0.008,8.948,0.022,-0.022,10.4092,0.000262,-0.000262,2018-04-25,2017-03,2018-04-26,0.5839125923610154,79.4575,1.56926,0.2297555786628139
