,mass,radius
0,0.1,0.4602589939898495
1,0.12589254117941673,0.4945460447060088
2,0.15848931924611134,0.5307349790054456
3,0.19952623149688797,0.5686806658305804
4,0.251188643150958,0.6087591871035852
5,0.31622776601683794,0.6501162945882752
6,0.3981071705534973,0.6935208394348156
7,0.5011872336272724,0.7396053934334217
8,0.6309573444801934,0.7885814686707192
9,0.7943282347242815,0.84066470599953
10,1.0,0.8961038467561561
11,1.2589254117941675,0.9550808453197136
12,1.584893192461114,1.017380258693259
13,1.9952623149688797,1.0828349580200818
14,2.511886431509581,1.151824729989155
15,3.1622776601683795,1.2243468548137424
16,3.981071705534973,1.3004724741077316
17,5.011872336272725,1.380259069761207
18,6.309573444801933,1.4637859532524893
19,7.943282347242818,1.551076332973219
20,10.0,1.6422119869718794
