,f_preferred_name,Fe,Mg,Si,Unnamed: 4
638,HIP 67246 ,0.12,0.25,0.13,
639,HIP 34481 ,0.02,-0.01,0.08,
640,HIP 67250 ,-0.04,0.03,0.04,
641,HIP 100017 ,-0.09,-0.09,-0.09,
642,HIP 100022 ,0.22,0.3,0.3,
643,2MASS 19405434+5033323 ,-0.4,-0.36,-0.32,
645,HD 224635 ,0.07,0.18,0.05,
646,HIP 67275 ,0.3,0.22,0.32,
647,HIP 34511 ,-0.07,-0.06,-0.1,
649,HIP 1745 ,-0.42,-0.32,-0.37,
650,HIP 1746 ,-0.45,-0.14,-0.29,
651,HIP 34521 ,-0.13,-0.17,-0.07,
653,HIP 100062 ,0.0,0.12,0.09,
654,HIP 1760 ,0.1,-0.02,-0.12,
656,HIP 67300 ,-0.28,-0.09,-0.18,
657,HIP 67304 ,-0.78,-0.26,-0.34,
658,HIP 100072 ,0.09,0.13,0.04,
659,HIP 1779 ,0.3,0.23,0.24,
661,HIP 34548 ,-0.26,-0.34,-0.3,
662,2MASS 19314146+3828382 ,-0.25,-0.1,-0.12,
663,2MASS 19385809+4332126 ,0.13,0.11,0.06,
665,2MASS 22342548-1343541 ,0.17,0.17,0.13,
666,BD+43 03102 ,-0.23,-0.17,-0.22,
667,HIP 100101 ,-0.65,-0.45,-0.48,
668,HIP 34567 ,0.1,0.19,-0.01,
669,HIP 1803 ,0.22,0.24,0.2,
671,BD+45 02978 ,-0.08,0.08,-0.06,
673,HIP 1813 ,0.01,-0.01,-0.03,
675,HIP 1823 ,-0.25,-0.1,-0.15,
676,2MASS 19141476+4632097 ,-0.01,-0.08,-0.04,
677,HIP 67364 ,0.12,0.18,0.17,
678,2MASS 19174431+4928242 ,-0.31,-0.13,-0.24,
679,HIP 67371 ,0.35,0.38,0.34,
680,2MASS 19071664+4654420 ,0.23,0.09,0.15,
681,HIP 1837 ,-0.07,-0.22,-0.18,
682,2MASS 03352813+4218029 ,0.08,0.2,0.12,
683,HIP 34608 ,-0.37,0.04,-0.1,
684,HIP 67384 ,-0.16,-0.03,-0.06,
685,HIP 67388 ,0.15,0.1,0.1,
686,HIP 34622 ,-0.24,-0.04,-0.06,
687,2MASS 15093137+3935355 ,-1.53,-1.14,-1.21,
691,HIP 67400 ,0.29,0.25,0.28,
693,2MASS 19385108+4157571 ,-0.55,-0.49,-0.48,
694,HIP 67408 ,0.02,0.18,0.02,
695,HIP 34642 ,-0.5,-0.34,-0.24,
696,HIP 1877 ,-0.26,-0.12,-0.21,
699,HIP 67423 ,-0.11,0.06,0.01,
701,HD 88495 ,-0.06,0.08,0.12,
703,HIP 1893 ,-0.05,-0.04,-0.08,
704,HIP 100222 ,0.24,0.03,-0.05,
705,HIP 100223 ,-0.26,-0.28,-0.32,
707,HIP 34693 ,0.2,0.44,0.36,
708,HIP 100233 ,-0.04,0.01,-0.02,
709,2MASS 19200732+4209577 ,0.26,0.2,0.22,
710,HIP 1931 ,0.35,0.32,0.33,
711,HIP 1933 ,-0.02,-0.02,-0.02,
713,HIP 1936 ,-0.32,-0.26,-0.31,
714,HD 215594 ,-0.22,-0.08,-0.19,
715,HIP 34706 ,-0.14,-0.01,0.02,
717,HIP 34714 ,-0.4,-0.31,-0.4,
718,HIP 67485 ,-0.3,0.02,-0.1,
719,HIP 67487 ,0.14,0.5,0.15,
720,HIP 1954 ,-0.05,-0.03,-0.08,
721,HIP 1955 ,0.0,0.05,-0.03,
722,HIP 67494 ,0.07,0.22,0.2,
723,HIP 100269 ,0.43,0.08,0.44,
724,HD 180349 ,0.01,0.29,-0.14,
725,HIP 100274 ,0.09,0.14,0.15,
726,HIP 34739 ,-0.31,-0.15,-0.14,
727,2MASS 19092707+3838585 ,0.03,0.02,-0.01,
728,HIP 100279 ,-0.68,-0.32,-0.47,
729,HIP 1976 ,0.22,0.22,0.2,
730,HIP 67512 ,-0.28,-0.17,-0.3,
731,HIP 100280 ,-0.03,-0.01,-0.05,
732,HIP 34747 ,0.35,0.3,0.33,
733,2MASS 19394824+4300447 ,-0.13,0.02,-0.04,
736,2MASS 14401389+0958353 ,-1.89,-1.34,-1.55,
737,NAME pipoltr ,-0.21,-0.23,-0.2,
738,HIP 67534 ,0.35,0.26,0.36,
