,f_preferred_name,Fe,Mg,Si,Unnamed: 4
3013,HIP 73996 ,0.04,-0.05,-0.03,
3015,HIP 106775 ,-0.11,0.19,0.01,
3016,2MASS 16494226-1932340 ,-0.04,-0.06,-0.06,
3017,HIP 8476 ,-0.35,-0.2,-0.16,
3018,HIP 74013 ,-0.12,0.01,-0.04,
3020,HIP 106782 ,-0.07,-0.11,-0.04,
3021,2MASS 20452342+4023273 ,-1.03,-1.1,-1.14,
3022,HIP 106787 ,-0.01,0.19,0.17,
3023,HIP 8486 ,-0.02,-0.05,-0.09,
3025,HD 170592 ,0.1,0.01,0.09,
3028,HIP 74033 ,-0.73,-0.39,-0.48,
3029,HIP 8498 ,0.08,0.08,0.1,
3030,HD 171028 ,-0.44,-0.34,-0.37,
3031,HIP 8507 ,-0.06,-0.02,-0.1,
3032,HIP 106820 ,-0.08,-0.06,-0.05,
3033,HIP 106824 ,0.22,0.18,0.22,
3034,HIP 106825 ,0.04,0.04,0.04,
3035,HIP 8525 ,0.29,0.26,0.28,
3036,HIP 74067 ,-0.74,-0.46,-0.51,
3037,HIP 74074 ,-1.01,-0.57,-0.71,
3038,HIP 74075 ,-0.42,-0.26,-0.34,
3041,HIP 74079 ,-0.77,-0.46,-0.62,
3042,HIP 74080 ,0.11,0.13,0.13,
3043,HIP 74083 ,0.07,0.24,0.29,
3044,HIP 8548 ,0.05,0.12,0.06,
3045,HIP 41317 ,-0.04,0.02,-0.07,
3048,2MASS 19353364+4231408 ,0.0,-0.04,0.02,
3049,HIP 8553 ,0.15,-0.02,-0.1,
3051,HIP 74092 ,0.02,0.02,0.06,
3053,2MASS 19253173+3807388 ,-0.2,-0.19,-0.21,
3054,HIP 106869 ,-0.67,-0.31,-0.4,
3055,HIP 106872 ,0.04,0.12,0.18,
3056,HIP 74107 ,-0.67,-0.29,-0.32,
3058,2MASS 18482828+4613261 ,0.03,-0.06,0.03,
3059,HIP 74118 ,0.15,0.1,0.12,
3060,HIP 8587 ,0.26,0.22,0.25,
3062,HIP 41363 ,0.02,-0.03,0.02,
3064,HIP 74134 ,-0.3,-0.2,-0.23,
3066,HIP 106913 ,0.15,0.1,0.11,
3068,HIP 41382 ,-0.11,-0.08,-0.14,
3069,HIP 106922 ,0.14,0.2,0.23,
3070,2MASS 19461484+4059436 ,0.01,-0.06,-0.12,
3071,HIP 106924 ,-1.84,-1.66,-1.86,
3072,HD 133131a ,-0.26,-0.22,-0.24,
3073,HIP 41395 ,-0.1,0.14,0.18,
3074,HIP 106931 ,-0.16,-0.05,-0.12,
3077,HIP 106938 ,-0.02,0.06,-0.05,
3078,2MASS 19061247+3905445 ,0.12,0.03,0.12,
3079,2MASS 19092867+4646055 ,-0.01,-0.03,-0.07,
3080,HIP 74176 ,-0.36,-0.34,-0.44,
3082,HIP 106944 ,-0.04,0.19,0.2,
3083,HIP 41411 ,-0.05,-0.15,-0.14,
3084,HIP 106947 ,-0.4,-0.24,-0.27,
3085,HIP 8645 ,-0.01,0.06,0.22,
3087,HIP 106951 ,-0.2,-0.13,-0.21,
3088,2MASS 19285638+4254340 ,-0.36,-0.32,-0.29,
3092,2MASS 19253787+4801044 ,-0.29,-0.27,-0.28,
3093,HIP 8674 ,-0.53,-0.31,-0.36,
3094,HIP 106985 ,0.35,0.14,0.12,
3096,HIP 107001 ,0.26,0.1,0.25,
3097,HIP 74234 ,-1.35,-1.34,-1.36,
3098,HIP 74235 ,-1.36,-1.3,-1.37,
3099,HIP 41471 ,0.0,0.12,0.02,
3100,2MASS 19345930+4506259 ,0.17,0.11,0.12,
3101,HIP 41479 ,0.25,0.28,0.27,
3102,HIP 41484 ,0.04,0.1,0.03,
3103,HIP 107020 ,-0.2,-0.19,-0.2,
3104,HIP 107022 ,-0.01,0.08,0.01,
3105,HIP 8720 ,-0.64,-0.34,-0.37,
3106,HIP 107025 ,-0.66,-0.38,-0.51,
3107,HD 31208 ,0.05,-0.03,0.07,
3109,HIP 107038 ,-0.09,-0.08,-0.07,
3110,HIP 74271 ,0.12,0.11,0.09,
3111,HIP 107039 ,0.17,0.3,0.2,
3112,HIP 74273 ,0.15,0.18,0.12,
3113,HIP 107040 ,0.3,0.24,0.29,
3115,HIP 8741 ,-0.07,-0.04,-0.05,
3118,2MASS 14123753+0403359 ,0.04,0.22,0.12,
3119,HIP 74289 ,0.47,0.41,0.43,
3120,HIP 107060 ,-0.12,-0.01,-0.14,
3121,HIP 8758 ,0.04,-0.01,0.0,
3123,HIP 41529 ,0.0,0.02,0.0,
3124,BD+20 02164 ,0.1,0.04,0.14,
3125,2MASS 19565383+4020354 ,0.06,0.02,0.01,
3126,HIP 107070 ,-0.01,-0.03,-0.08,
3127,2MASS 19303315+4422130 ,0.17,0.22,0.07,
3128,HIP 107072 ,0.25,0.4,0.25,
3129,HIP 8770 ,0.34,0.31,0.31,
3131,HIP 41542 ,-0.34,-0.33,-0.32,
3132,HIP 41544 ,-0.12,-0.16,-0.16,
3133,HIP 74316 ,-0.2,-0.14,-0.19,
3134,HIP 8786 ,-1.8,0.43,0.47,
3135,HIP 74326 ,-0.15,0.02,-0.18,
3136,HIP 107095 ,0.02,0.09,-0.02,
3137,HIP 8798 ,-0.19,0.01,-0.1,
3138,HIP 41573 ,-0.12,-0.01,-0.14,
3140,HIP 74346 ,0.07,0.14,0.12,
3142,HIP 107119 ,0.2,0.3,0.36,
3143,2MASS 19495685+4937244 ,-0.18,-0.16,-0.18,
3145,HIP 8830 ,0.28,0.31,0.35,
3146,HIP 8833 ,0.18,0.29,0.22,
3147,2MASS 19481090+4619433 ,0.27,0.14,0.2,
3148,BD+41 03338 ,0.26,0.28,0.27,
3151,HIP 8848 ,0.35,0.28,0.34,
3152,HIP 107152 ,0.04,0.04,0.04,
3153,2MASS 19082071+4656449 ,-0.02,-0.02,0.0,
3154,HIP 41620 ,-0.05,0.0,-0.03,
3155,HIP 74389 ,0.11,0.11,0.07,
3156,HIP 107160 ,0.2,0.2,0.18,
3157,HIP 8859 ,-0.32,-0.23,-0.28,
3158,HIP 74395 ,-0.02,0.01,0.14,
3159,HIP 74396 ,-0.04,-0.12,-0.13,
3160,HIP 8867 ,0.12,0.01,0.17,
3161,HD 165341a ,0.06,0.14,0.08,
3162,HIP 8881 ,-0.2,-0.1,-0.21,
3163,HIP 74417 ,-0.03,-0.03,-0.01,
3165,HIP 107188 ,-0.34,-0.23,-0.18,
3166,2MASS 19595584+4442478 ,0.1,-0.18,-0.02,
3167,HIP 107191 ,-0.24,-0.07,-0.23,
3168,HIP 41659 ,-0.49,-0.14,-0.32,
3169,HIP 74432 ,0.09,0.34,0.12,
3170,HIP 74434 ,0.1,0.36,0.11,
3171,HIP 107205 ,-0.63,-0.54,-0.57,
3172,HIP 74442 ,-0.06,-0.07,-0.06,
3173,HIP 74443 ,-0.58,-0.3,-0.36,
3174,HIP 41676 ,0.0,-0.02,0.05,
3179,HIP 107230 ,0.19,0.32,0.27,
3181,HIP 8928 ,-0.16,-0.06,-0.04,
3182,HIP 74464 ,0.18,0.12,0.17,
3183,HIP 107236 ,-0.44,-0.21,-0.19,
3185,HIP 74478 ,-0.16,-0.1,-0.15,
3186,HIP 107246 ,0.13,0.08,0.09,
3187,HIP 107251 ,0.26,0.24,0.26,
3188,HIP 107252 ,-0.2,-0.09,-0.17,
3191,HIP 41724 ,0.04,0.18,0.09,
3192,HIP 74500 ,0.3,0.33,0.31,
3194,HIP 74514 ,-0.13,0.08,0.08,
3196,HIP 74517 ,-0.02,-0.1,-0.24,
3197,HIP 8987 ,0.07,-0.01,0.12,
3198,HIP 107294 ,-1.28,-0.92,-0.97,
3199,HIP 107299 ,-0.24,-0.21,-0.2,
3200,HIP 107300 ,-0.28,-0.22,-0.23,
3201,HIP 74537 ,-0.12,0.09,-0.05,
3202,BD+35 03659 ,-1.41,-1.11,-1.18,
3204,HIP 41777 ,0.22,0.31,0.26,
3206,HIP 74549 ,0.11,0.12,0.12,
3207,HIP 74550 ,0.1,0.14,0.11,
3209,HIP 74555 ,-0.89,-0.78,-0.99,
3210,HIP 9021 ,-0.11,0.04,-0.06,
3211,HIP 107344 ,-1.11,-0.67,-0.8,
3212,HIP 9044 ,0.07,-0.06,-0.13,
3213,HIP 41813 ,0.18,0.2,0.15,
3215,HIP 107350 ,-0.02,-0.09,-0.03,
3217,HIP 74588 ,-1.19,-0.91,-1.03,
3219,HIP 74605 ,0.06,0.1,0.05,
3220,2MASS 19330772+4817092 ,0.08,-0.01,-0.14,
3221,HIP 9073 ,0.13,-0.04,0.02,
3222,HIP 41844 ,-0.01,0.05,-0.01,
3223,HIP 9080 ,-0.29,-0.23,-0.13,
3224,HIP 107385 ,-0.39,-0.33,-0.37,
3225,BD+44 03244 ,-0.08,-0.06,-0.15,
3226,2MASS 19244068+4238269 ,0.04,0.03,0.06,
3227,2MASS 19250004+4913545 ,-0.18,-0.18,-0.18,
3228,HIP 9085 ,-0.26,-0.21,-0.22,
3229,HD 220041 ,-0.25,-0.06,-0.09,
3230,HIP 107397 ,0.33,0.34,0.32,
3231,HIP 9094 ,0.12,0.18,0.11,
3232,HIP 9095 ,-0.03,0.06,0.09,
3233,2MASS 19115949+5056395 ,0.15,0.17,0.21,
3234,HIP 41871 ,-0.3,-0.2,-0.23,
3235,HIP 9110 ,-0.27,-0.11,-0.18,
3237,HIP 74653 ,0.3,0.35,0.32,
3239,HIP 74662 ,0.26,0.02,0.28,
3241,HIP 74663 ,0.19,0.12,0.28,
3242,HIP 74666 ,-0.33,-0.2,-0.2,
3243,HIP 9137 ,-0.29,-0.16,-0.26,
3244,HIP 41907 ,-0.13,-0.04,-0.01,
3245,HIP 9141 ,0.04,0.05,-0.01,
3246,HIP 41909 ,0.14,0.34,0.38,
3247,HIP 107445 ,-0.19,-0.07,-0.07,
3248,HIP 107447 ,0.05,-0.02,-0.11,
3249,HIP 9149 ,-0.01,0.14,0.06,
3250,HIP 107453 ,0.2,0.21,0.18,
3251,HIP 9153 ,0.07,0.24,0.33,
3252,HIP 107457 ,0.07,-0.04,0.0,
3253,HIP 41926 ,-0.37,-0.26,-0.33,
3254,HIP 74702 ,-0.04,-0.04,-0.08,
3258,HIP 41940 ,0.04,0.19,0.24,
3259,HIP 74710 ,0.22,0.23,0.17,
3261,HIP 41948 ,-0.2,-0.02,-0.12,
3262,HIP 41951 ,0.36,0.22,0.28,
3263,HIP 41953 ,0.08,0.0,-0.14,
3264,HIP 74734 ,-0.2,-0.15,-0.22,
3265,HIP 9199 ,-0.22,-0.25,-0.34,
3266,HIP 41967 ,0.0,-0.11,-0.06,
3267,HIP 41968 ,0.06,0.11,0.03,
3268,HIP 107502 ,0.09,0.35,0.32,
3269,2MASS 03044335+6144097 ,-0.31,0.08,-0.16,
3270,HIP 74756 ,-0.97,-0.49,-0.68,
3272,HIP 9222 ,-0.05,0.06,0.02,
3273,2MASS 19300739+4903421 ,0.02,-0.01,0.0,
3275,HIP 107529 ,-0.33,-0.35,-0.47,
3276,2MASS 18491229+4630583 ,0.02,-0.06,0.07,
3277,HIP 41997 ,-0.13,-0.17,-0.3,
3279,B-11 05929 ,0.18,0.13,0.15,
3280,HIP 74771 ,0.02,-0.02,-0.01,
3281,HIP 9236 ,0.13,0.25,0.04,
3282,HIP 9237 ,-0.2,0.04,0.03,
3283,HIP 74775 ,-0.01,-0.02,0.01,
3284,HIP 42010 ,0.23,0.42,0.44,
3285,HIP 42011 ,0.33,0.36,0.34,
3286,HIP 74788 ,0.24,0.18,0.26,
3287,HIP 74793 ,0.02,0.04,0.25,
3288,HIP 42030 ,0.02,0.12,0.02,
3289,HIP 9269 ,0.28,0.25,0.24,
3290,2MASS 19552797+4630080 ,0.03,-0.06,-0.03,
3291,HIP 74808 ,-0.08,0.02,-0.04,
3292,HIP 74818 ,-0.15,-0.04,-0.1,
3293,HD 150862 ,-0.15,-0.22,-0.22,
3295,HIP 74831 ,-0.52,-0.17,-0.36,
3296,HIP 107599 ,-0.41,-0.31,-0.34,
3297,HIP 74834 ,-0.05,0.16,0.03,
3299,HIP 107607 ,-0.68,-0.39,-0.5,
3300,HIP 42074 ,0.08,0.1,0.04,
3302,HIP 74842 ,0.11,0.01,-0.09,
3303,2MASS 19320905+4616390 ,-0.02,-0.14,-0.08,
3304,HIP 9313 ,-0.04,-0.01,0.06,
3305,HIP 107618 ,-0.27,-0.15,-0.25,
3306,HIP 9316 ,0.14,0.17,0.11,
3308,HIP 74856 ,0.15,0.17,0.17,
3310,HIP 9328 ,-0.08,-0.15,-0.23,
3312,HIP 42098 ,0.21,0.23,0.2,
3313,HIP 42109 ,-0.02,-0.12,-0.15,
3314,2MASS 19472622+5033365 ,-0.24,-0.2,-0.23,
3315,HIP 42112 ,0.19,0.11,0.13,
3316,HIP 74880 ,-0.03,0.08,0.07,
3317,HIP 107648 ,-0.09,0.04,0.07,
3319,HIP 107649 ,0.01,0.05,0.01,
3320,HIP 9349 ,0.03,0.01,-0.05,
3321,HIP 74886 ,-0.28,-0.12,-0.18,
3322,HIP 9353 ,0.32,0.41,0.31,
3323,HIP 74890 ,0.28,0.39,0.38,
3324,HIP 42123 ,0.1,0.16,0.11,
3325,2MASS 18574403+4918185 ,0.13,0.09,0.11,
3326,HIP 74896 ,-0.02,0.13,0.02,
3327,HIP 9362 ,-0.02,0.05,0.07,
3330,HIP 9367 ,0.13,-0.01,-0.11,
3331,HD 200968a ,-0.02,-0.19,-0.05,
3332,HIP 9381 ,-0.23,-0.02,-0.09,
3333,HIP 107685 ,-0.08,0.03,0.1,
3334,HD 189976 ,0.06,0.02,0.0,
3335,HIP 74933 ,-0.28,-0.21,-0.22,
3336,HIP 9398 ,-0.4,-0.22,-0.55,
3337,HIP 74935 ,-0.4,-0.23,-0.31,
3338,HIP 9400 ,0.06,0.12,0.06,
3340,2MASS 19235800+4013455 ,0.05,0.0,0.01,
3341,HIP 9404 ,-0.17,-0.09,-0.15,
3342,HIP 42172 ,0.1,0.14,0.05,
3343,HIP 9406 ,0.05,0.02,-0.08,
3344,HIP 42173 ,0.2,0.2,0.11,
3345,HIP 74942 ,0.08,0.12,0.24,
3346,HIP 107708 ,-0.41,-0.3,-0.42,
3347,HIP 74948 ,0.02,0.04,-0.02,
3348,HIP 9414 ,-0.12,-0.06,-0.07,
3349,HIP 74954 ,-0.2,0.0,-0.08,
3350,HIP 74961 ,-0.07,0.06,0.04,
3351,HIP 42202 ,0.09,0.24,0.1,
3353,HIP 9440 ,-0.56,-0.32,-0.42,
3354,HIP 74975 ,0.03,0.06,0.03,
3355,HIP 74976 ,-0.18,-0.15,-0.2,
3356,HIP 42214 ,0.27,0.27,0.29,
3358,HD 178509 ,0.14,0.08,0.1,
3359,HIP 9459 ,-0.25,-0.03,0.16,
3362,HIP 75003 ,-0.34,-0.08,-0.18,
3363,HIP 107773 ,-0.01,0.01,0.12,
3364,HIP 9471 ,0.08,0.17,0.09,
3365,HIP 9473 ,-0.27,-0.22,-0.26,
3366,HD 97100 ,-0.19,-0.08,0.17,
3367,2MASS 19293027+4752515 ,0.01,0.0,-0.01,
3369,HIP 75023 ,-0.42,-0.1,-0.26,
3370,HIP 75030 ,0.02,0.33,0.17,
3371,B-10 03166 ,0.42,0.44,0.38,
3372,HIP 107805 ,0.05,0.02,0.02,
3373,HIP 75039 ,-0.07,-0.1,-0.08,
3374,HD 184521 ,0.13,-0.02,0.21,
3375,HIP 42279 ,-0.29,-0.08,-0.22,
3377,HIP 42281 ,0.15,0.07,0.11,
3378,HIP 42282 ,0.29,0.34,0.28,
3379,HIP 75049 ,-0.2,0.01,-0.05,
3380,HIP 107818 ,-0.48,-0.25,-0.28,
3381,HIP 107821 ,0.14,0.06,0.05,
3382,HIP 42286 ,-0.04,0.04,0.09,
3383,HIP 9519 ,0.16,0.08,0.05,
3384,HIP 107822 ,0.22,0.18,0.2,
3385,2MASS 11423704+0553394 ,-0.18,-0.18,-0.18,
3386,HIP 42291 ,0.17,0.2,0.15,
3387,HIP 107828 ,-0.31,-0.19,-0.22,
3389,HIP 75069 ,-0.3,-0.39,-0.32,
3390,HIP 75078 ,-0.34,-0.25,-0.31,
3391,HIP 9550 ,0.17,0.17,0.16,
3392,HIP 9553 ,0.12,0.14,0.16,
3393,HIP 107857 ,-0.71,-0.37,-0.52,
3395,HIP 42333 ,0.17,0.15,0.08,
3396,HIP 75101 ,0.45,0.49,0.33,
3397,2MASS 19552061+4017353 ,0.08,0.06,0.07,
3398,HIP 75104 ,0.15,0.06,0.11,
3399,HIP 75106 ,-0.12,-0.19,-0.35,
3402,HIP 107877 ,-0.2,-0.09,-0.21,
3403,HIP 42343 ,-0.22,-0.11,-0.08,
3404,HIP 107880 ,-0.05,0.03,-0.01,
3405,HIP 75119 ,-0.04,0.37,0.33,
3406,HIP 107890 ,0.16,0.26,0.19,
3407,HIP 42356 ,0.15,0.1,0.11,
3408,HIP 75127 ,0.21,0.43,0.51,
3410,HIP 75132 ,0.2,0.22,0.32,
3411,HIP 42365 ,0.11,0.21,0.27,
3412,HIP 42372 ,-0.32,-0.22,-0.34,
3413,HIP 75140 ,0.2,0.22,0.14,
3414,HD 215866 ,-0.16,-0.06,-0.12,
3415,HIP 107914 ,-0.2,-0.07,-0.17,
3416,2MASS 11191047-0017036 ,-0.02,0.03,-0.1,
3417,HIP 107920 ,-0.03,0.03,-0.03,
3418,HIP 75158 ,0.19,0.12,0.17,
3419,2MASS 19072771+4159207 ,-0.18,-0.13,-0.15,
3420,HIP 9629 ,-0.24,-0.15,-0.19,
3421,2MASS 19214120+4438528 ,0.36,0.24,0.3,
3423,HIP 107936 ,-0.08,-0.04,-0.1,
3424,HIP 42401 ,-0.19,-0.24,-0.24,
3425,HIP 42402 ,0.16,0.22,0.41,
3426,HIP 42403 ,0.12,0.18,0.16,
3427,HIP 107941 ,0.15,0.14,0.12,
3430,HIP 75181 ,-0.3,-0.04,-0.18,
3431,HIP 107952 ,-0.42,-0.26,-0.27,
3433,HIP 9652 ,0.31,0.2,0.33,
3434,HIP 107958 ,-0.28,-0.11,-0.13,
3436,HIP 42430 ,0.28,0.46,0.39,
3437,HIP 42436 ,0.22,0.17,0.19,
3438,HIP 42438 ,0.0,-0.02,-0.05,
3439,HIP 75206 ,0.08,0.18,0.11,
3440,HIP 107975 ,-0.48,-0.36,-0.41,
3441,HIP 42446 ,0.33,0.31,0.34,
3442,HIP 75214 ,-0.57,-0.2,-0.28,
3443,HIP 107985 ,0.17,0.2,0.16,
3444,HIP 9683 ,0.4,0.44,0.36,
3446,2MASS 11370392-0054262 ,-0.32,-0.32,-0.31,
3447,HIP 42462 ,0.0,0.18,0.29,
3448,HD 170047 ,-0.21,-0.1,-0.08,
3449,2MASS 19063018+3732142 ,0.16,0.11,0.11,
3450,HIP 75236 ,0.06,0.07,0.07,
3453,HIP 42483 ,-0.44,-0.34,-0.3,
3455,HIP 75253 ,0.14,0.21,0.19,
3456,HIP 42488 ,0.04,0.06,0.02,
3457,HIP 42491 ,0.02,-0.01,0.0,
3458,HIP 75260 ,0.06,0.17,0.05,
3459,HIP 108028 ,-0.04,-0.06,-0.04,
3460,HIP 108030 ,-0.39,-0.38,-0.32,
3461,HIP 75263 ,-1.33,-1.12,-1.25,
3462,HIP 42497 ,0.2,0.23,0.22,
3463,HIP 75266 ,0.32,0.22,0.29,
3464,HIP 42499 ,-0.54,-0.29,-0.33,
3465,HIP 108036 ,-0.02,-0.07,-0.08,
3466,HIP 75277 ,-0.03,-0.09,-0.08,
3468,HIP 75281 ,-0.25,-0.14,-0.09,
3469,HIP 42515 ,0.05,0.22,0.12,
3470,HIP 42516 ,0.15,0.11,0.18,
3471,2MASS 19052120+4844387 ,0.17,0.14,0.12,
3472,HIP 108056 ,0.22,0.23,0.3,
3473,HIP 75292 ,-0.25,-0.1,-0.17,
3474,2MASS 19235374+4810413 ,0.03,-0.05,0.0,
3475,HIP 42527 ,-0.13,-0.01,0.02,
3476,HIP 42528 ,0.06,0.18,0.12,
3477,HIP 108065 ,0.1,0.2,0.14,
3479,HIP 42532 ,0.11,0.17,0.11,
3480,HIP 108068 ,-0.3,-0.05,-0.17,
3481,2MASS 19095484+3813438 ,0.2,0.18,0.2,
3482,HIP 42539 ,-0.2,-0.18,-0.18,
3483,HIP 42549 ,0.09,0.22,0.12,
3485,2MASS I ,0.09,-0.03,0.12,
3490,HIP 108095 ,-0.37,-0.3,-0.34,
3491,2MASS 15193567-2431033 ,-1.33,-1.12,-1.18,
3493,HIP 108102 ,0.2,0.31,0.35,
3494,HIP 42575 ,0.1,0.21,0.02,
3496,HIP 9818 ,-0.01,0.08,0.04,
3497,HIP 42592 ,-1.96,-1.75,-1.81,
3499,HIP 9827 ,0.28,0.32,0.34,
3500,HIP 75363 ,-0.07,-0.02,-0.07,
3501,HIP 9829 ,-0.2,-0.08,-0.2,
3504,HIP 75379 ,0.01,0.05,0.04,
3505,HIP 42612 ,0.02,-0.02,-0.06,
3506,HIP 75387 ,-0.26,-0.19,-0.24,
3507,HIP 108156 ,-0.01,0.11,0.0,
3508,HIP 75389 ,-0.6,-0.22,-0.38,
3509,HIP 75390 ,-0.14,-0.06,-0.19,
3510,HIP 108158 ,0.07,0.2,0.12,
3511,HIP 108162a ,0.22,-0.05,0.13,
3512,HIP 9862 ,0.16,0.42,0.31,
3513,HIP 75398 ,-0.18,-0.16,-0.2,
3514,HIP 9865 ,0.09,-0.03,-0.16,
3515,HIP 42634 ,0.24,0.29,0.28,
3516,HIP 9870 ,-0.04,0.06,0.04,
3517,HIP 75407 ,-0.45,-0.19,-0.31,
3518,HIP 75411 ,-0.05,-0.01,0.03,
3520,HIP 9883 ,0.19,0.28,0.18,
3521,HIP 9884 ,-0.15,0.0,-0.02,
3522,HIP 108193 ,-0.41,-0.27,-0.36,
3523,HIP 75426 ,0.0,-0.08,-0.02,
3524,2MASS 18503152+4628519 ,0.25,0.24,0.26,
3526,HIP 9911 ,0.12,0.17,0.11,
3527,HIP 108216 ,-0.5,-0.28,-0.46,
3528,2MASS 19272207+4451291 ,0.1,0.08,0.02,
3529,HD 133131b ,-0.27,-0.21,-0.25,
3530,HIP 75458 ,0.16,0.2,0.37,
3531,2MASS 02123147+5146435 ,0.27,0.18,0.2,
3533,HIP 75470 ,-0.24,-0.05,-0.14,
3534,HIP 108241 ,-0.03,-0.02,-0.02,
3535,HIP 75487 ,-0.62,-0.44,-0.59,
3537,HIP 42723 ,0.17,0.15,0.11,
3538,HIP 108259 ,-0.43,-0.02,-0.15,
3539,HIP 9960 ,0.22,0.1,0.11,
3541,HIP 42734 ,-0.6,-0.27,-0.38,
3542,HIP 75513 ,-0.13,-0.05,0.05,
3543,2MASS 19033320+4752493 ,-0.15,-0.17,-0.19,
3544,HIP 42747 ,0.21,0.38,0.33,
3545,B-13 02130 ,0.17,0.07,0.25,
3546,HIP 9983 ,-0.27,-0.11,-0.12,
3547,HIP 108288 ,-0.27,-0.18,-0.27,
3548,HIP 42753 ,0.11,0.18,0.05,
3549,HIP 75535 ,0.44,0.32,0.38,
3550,HIP 75539 ,-0.3,-0.18,-0.2,
3551,HIP 42773 ,0.12,0.08,0.1,
3553,HIP 75542 ,-0.34,-0.26,-0.33,
3556,HIP 10012 ,-0.22,0.04,-0.2,
3557,HIP 108331 ,0.03,-0.07,-0.17,
3558,HIP 75565 ,-0.31,0.02,-0.1,
3559,HIP 75568 ,0.15,0.16,0.17,
3561,2MASS 19404641+3932228 ,-0.17,-0.18,-0.2,
3562,HIP 42808 ,0.06,-0.02,0.01,
3563,HIP 75581 ,-0.83,-0.44,-0.57,
3565,HIP 108354 ,-0.19,-0.1,-0.04,
3566,2MASS 18583244+4043113 ,0.16,0.11,0.12,
3569,HIP 75607 ,0.19,0.09,-0.1,
3570,HIP 108375 ,0.09,0.12,0.07,
3572,HIP 42847 ,-0.1,-0.11,-0.12,
3573,HIP 108388 ,0.17,0.2,0.17,
3574,HIP 10085 ,-0.32,-0.04,0.01,
3575,HIP 10090 ,0.46,0.47,0.42,
3576,HIP 42864 ,-1.48,-1.07,-0.83,
3577,HIP 75634 ,-0.38,-0.2,-0.29,
3578,HIP 10111 ,-0.03,0.11,0.04,
3579,HIP 108416 ,0.1,0.12,0.06,
3580,HIP 10115 ,0.16,0.19,0.2,
3581,HIP 10116 ,0.0,0.02,0.01,
3582,HIP 10117 ,0.4,0.3,0.31,
3583,HIP 42884 ,-0.01,0.06,0.07,
3584,HIP 10119 ,-0.4,-0.15,-0.32,
3586,HIP 42885 ,-0.17,-0.07,-0.17,
3587,HIP 42889 ,-0.29,-0.15,-0.22,
3588,HIP 108420 ,-0.6,-0.49,-0.4,
3590,HIP 108431 ,-0.15,-0.02,-0.01,
3591,HIP 108435 ,-0.17,-0.03,-0.06,
3592,HD 189427 ,-0.21,-0.09,-0.13,
3593,HIP 108438 ,0.16,0.12,0.11,
3594,HIP 10138 ,-0.19,-0.04,-0.13,
3595,HIP 10140 ,-0.93,-0.64,-0.78,
3596,HIP 75676 ,-0.05,-0.1,-0.13,
3597,HIP 42911 ,0.03,0.2,0.24,
3598,HD 3684 ,0.31,0.14,0.22,
3600,HIP 108456 ,-0.36,-0.16,-0.27,
3601,2MASS 16214578-2332520 ,0.17,0.11,0.14,
3605,HIP 75696 ,-0.82,-0.33,-0.48,
3607,HIP 108468 ,-0.06,-0.02,-0.09,
3609,HIP 108473 ,-0.07,-0.04,-0.07,
3611,HIP 42944 ,0.12,0.4,0.27,
3612,HIP 75718 ,0.11,0.19,0.17,
3613,HIP 42953 ,0.17,0.08,-0.05,
3614,HIP 42954 ,-0.03,0.02,0.13,
3615,HIP 75722 ,0.29,0.15,0.2,
3616,HIP 108490 ,-0.71,-0.6,-0.58,
3617,HD 215714 ,0.17,0.08,0.18,
3618,2MASS 14184392-2016317 ,0.34,0.24,0.17,
3619,HIP 108506 ,0.15,0.2,0.12,
3620,2MASS 14510418+0556505 ,0.4,0.3,0.29,
3621,HD 147884 ,-0.04,0.13,0.01,
3622,HIP 42977 ,0.14,0.06,0.14,
3623,HIP 108513 ,0.39,0.34,0.33,
3626,2MASS 19050356+4213186 ,-0.33,-0.07,0.07,
3627,HIP 10218 ,0.18,0.11,0.15,
3628,HIP 108525 ,-0.07,-0.06,-0.04,
3629,HIP 10225 ,0.07,0.29,0.14,
3630,HIP 75762 ,0.03,-0.02,-0.06,
3631,2MASS 19222427+4433229 ,0.39,0.35,0.4,
3632,HIP 10234 ,-0.12,0.09,0.03,
3633,HIP 108543 ,0.04,0.07,0.15,
3635,HIP 43015 ,0.06,0.19,0.22,
3636,HIP 75783 ,-0.1,-0.08,-0.16,
3638,2MASS 11250598+4101406 ,0.07,0.12,0.09,
3639,HIP 43026 ,0.08,0.3,0.22,
3640,BD+36 03570 ,0.07,0.02,0.02,
3641,HIP 75809 ,0.05,0.06,0.02,
3642,HIP 75810 ,-0.42,-0.19,-0.19,
3643,HIP 10276 ,-0.12,-0.17,-0.17,
3644,HIP 10278 ,0.24,0.24,0.24,
3646,HIP 43048 ,0.0,-0.08,-0.21,
3647,HIP 75819 ,-0.5,-0.19,-0.32,
3648,HIP 43054 ,0.01,0.07,-0.07,
3649,HIP 75822 ,0.01,-0.13,-0.19,
3650,HIP 75829 ,0.04,0.07,0.04,
3651,HIP 108598 ,-0.71,-0.37,-0.5,
3653,HIP 43066 ,0.06,0.29,0.16,
3654,HIP 43067 ,-0.1,-0.14,-0.02,
3656,HIP 10301 ,-0.16,-0.1,-0.12,
3658,HIP 10303 ,0.14,0.2,0.11,
3659,HIP 75839 ,-1.06,-0.64,-0.79,
3660,HIP 10305 ,0.08,0.17,0.07,
3661,HIP 10306 ,-0.2,-0.15,-0.15,
3664,HD 181355 ,-0.17,-0.08,0.0,
