,hash,mass,cmf,tot_disk_cmf,boundary,percentage,sim_id,semi
0,39.0,2.204056e-06,0.43463130316115356,0.33,0.5,0.1,2,0.4538855226013821
1,41.0,3.35445e-08,0.4311610944665543,0.33,0.5,0.1,2,1.260519327297987
2,54.0,1.70815e-06,0.3331783851244175,0.33,0.5,0.1,2,1.0895572376317981
3,72.0,1.598852e-06,0.28596119812857845,0.33,0.5,0.1,2,0.6933443143861308
4,3869596591.0,2.679098e-08,0.0,0.33,0.5,0.1,2,5.203485306226988
5,30.0,1.019873e-06,0.4885261474236077,0.33,0.5,0.1,5,0.41318459219355363
6,36.0,2.497379e-06,0.31806598137487324,0.33,0.5,0.1,5,0.9297422529745537
7,58.0,2.162097e-06,0.3125845456921702,0.33,0.5,0.1,5,0.5466524354792741
8,136.0,4.405e-08,0.297,0.33,0.5,0.1,5,1.6896181917853221
9,14.0,4.405e-08,0.297,0.33,0.5,0.1,6,1.942686553016123
10,22.0,1.037702e-06,0.3403491611942415,0.33,0.5,0.1,6,0.3886737336326362
11,72.0,2.605374e-06,0.34131336971619547,0.33,0.5,0.1,6,0.5862694804307115
12,105.0,2.283364e-07,0.5794681218638612,0.33,0.5,0.1,6,1.3266259606260262
13,130.0,1.669282e-06,0.31515564114949973,0.33,0.5,0.1,6,0.9079753009903808
14,147.0,4.165501e-08,0.9723684956012999,0.33,0.5,0.1,6,1.7951317868139838
15,2909632847.0,2.639332e-08,0.0,0.33,0.5,0.1,6,5.202208588189566
16,906368509.0,2.327333e-08,0.0,0.33,0.5,0.1,6,9.547434671509501
17,3783228500.0,2.327333e-08,0.0,0.33,0.5,0.1,6,1.9970518442274687
18,4019363830.0,2.2025e-08,0.0,0.33,0.5,0.1,6,1.5247675696582685
19,3016084464.0,4.155138e-08,0.0,0.33,0.5,0.1,6,1.8656913557073747
20,51.0,3.098515e-06,0.351574999018343,0.33,0.5,0.1,8,0.5172597206975558
21,52.0,4.405e-08,0.297,0.33,0.5,0.1,8,1.7351316388213036
22,103.0,1.763399e-06,0.31210179767947827,0.33,0.5,0.1,8,0.8555901954779811
23,120.0,9.670777e-07,0.3194556012291266,0.33,0.5,0.1,8,1.2549217004267708
24,56.0,1.225386e-07,0.6547327371395046,0.33,0.5,0.1,9,1.7048591983594124
25,69.0,1.299715e-06,0.2653410076025741,0.33,0.5,0.1,9,0.9603968080506753
26,116.0,3.713634e-06,0.34579185276658636,0.33,0.5,0.1,9,0.5083077476930977
27,147.0,8.935056e-08,0.7321078905381231,0.33,0.5,0.1,9,1.5512836193595625
28,2215785330.0,2.63407e-08,1.0,0.33,0.5,0.1,9,5.202633746936138
29,847040419.0,2.278053e-08,0.0,0.33,0.5,0.1,9,9.543545682921238
30,29.0,2.464853e-06,0.33408987891141223,0.33,0.5,0.1,10,0.47881334968979045
31,105.0,2.922107e-06,0.3491641168512994,0.33,0.5,0.1,10,0.8034926949934007
32,117.0,2.409777e-07,0.38576259684333164,0.33,0.5,0.1,10,1.4877773193474728
33,134.0,1.3215e-07,0.297,0.33,0.5,0.1,10,1.664000676220508
34,1172086036.0,2.667263e-08,0.0,0.33,0.5,0.1,10,5.2024358186988
35,63.0,1.980184e-06,0.3693664533052528,0.33,0.5,0.1,11,0.4590412533850473
36,73.0,2.989982e-06,0.3309662897978886,0.33,0.5,0.1,11,0.7295554791366411
37,109.0,6.482901e-07,0.31364785610639434,0.33,0.5,0.1,11,1.1857329335524638
